chunk_id,doc_slug,doc_title,section_heading,owner,text
employee-handbook::1-purpose-and-scope,employee-handbook,Employee Handbook,1. Purpose and Scope,People Operations,"Employee Handbook
1. Purpose and Scope
Employee Handbook describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
employee-handbook::2-roles-and-responsibilities,employee-handbook,Employee Handbook,2. Roles and Responsibilities,People Operations,"Employee Handbook
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
employee-handbook::3-employment-classifications,employee-handbook,Employee Handbook,3. Employment Classifications,People Operations,"Employee Handbook
3. Employment Classifications
The section on employment classifications defines the standard rule, the approval path, and the records that must be retained.

Requests related to employment classifications should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for employment classifications, the exception must include the reason, the duration, and any compensating controls.

Records related to employment classifications must be stored in the designated repository with a clear owner and retention period.

Metrics related to employment classifications should be reviewed periodically to identify recurring issues and opportunities for improvement."
employee-handbook::4-attendance,employee-handbook,Employee Handbook,4. Attendance,People Operations,"Employee Handbook
4. Attendance
The section on attendance defines the standard rule, the approval path, and the records that must be retained.

Requests related to attendance should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for attendance, the exception must include the reason, the duration, and any compensating controls.

Employees who will be absent or late must notify their manager and team channel at least 1 hour before the start of the scheduled workday unless there is an emergency.

Unplanned absences extending beyond 3 consecutive workdays may require supporting documentation."
employee-handbook::5-standards-of-conduct,employee-handbook,Employee Handbook,5. Standards Of Conduct,People Operations,"Employee Handbook
5. Standards Of Conduct
The section on standards of conduct defines the standard rule, the approval path, and the records that must be retained.

Requests related to standards of conduct should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for standards of conduct, the exception must include the reason, the duration, and any compensating controls.

Records related to standards of conduct must be stored in the designated repository with a clear owner and retention period.

Metrics related to standards of conduct should be reviewed periodically to identify recurring issues and opportunities for improvement."
employee-handbook::6-travel-and-expenses,employee-handbook,Employee Handbook,6. Travel And Expenses,People Operations,"Employee Handbook
6. Travel And Expenses
The section on travel and expenses defines the standard rule, the approval path, and the records that must be retained.

Requests related to travel and expenses should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for travel and expenses, the exception must include the reason, the duration, and any compensating controls.

Airfare, lodging, and conference registration above USD 1,000 in total require pre-approval from a department head before booking.

Expense reports should be submitted within 15 calendar days after travel ends."
employee-handbook::7-acknowledgment,employee-handbook,Employee Handbook,7. Acknowledgment,People Operations,"Employee Handbook
7. Acknowledgment
The section on acknowledgment defines the standard rule, the approval path, and the records that must be retained.

Requests related to acknowledgment should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for acknowledgment, the exception must include the reason, the duration, and any compensating controls.

Records related to acknowledgment must be stored in the designated repository with a clear owner and retention period.

Metrics related to acknowledgment should be reviewed periodically to identify recurring issues and opportunities for improvement."
employee-handbook::8-exceptions-and-escalations,employee-handbook,Employee Handbook,8. Exceptions and Escalations,People Operations,"Employee Handbook
8. Exceptions and Escalations
Exceptions must be rare, time-bound, and approved by the designated authority named in the relevant section.

All exceptions must be logged with the approver, rationale, expiration date, and any required follow-up actions."
employee-handbook::9-document-control,employee-handbook,Employee Handbook,9. Document Control,People Operations,"Employee Handbook
9. Document Control
Document owner: Employee Handbook owner

Version: 3.0-rag

Effective date: 2026-04-20

Review frequency: annual or upon material change"
code-of-conduct::1-purpose-and-scope,code-of-conduct,Code of Conduct,1. Purpose and Scope,Compliance,"Code of Conduct
1. Purpose and Scope
Code of Conduct describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
code-of-conduct::2-roles-and-responsibilities,code-of-conduct,Code of Conduct,2. Roles and Responsibilities,Compliance,"Code of Conduct
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
code-of-conduct::3-ethical-conduct,code-of-conduct,Code of Conduct,3. Ethical Conduct,Compliance,"Code of Conduct
3. Ethical Conduct
The section on ethical conduct defines the standard rule, the approval path, and the records that must be retained.

Requests related to ethical conduct should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for ethical conduct, the exception must include the reason, the duration, and any compensating controls.

Records related to ethical conduct must be stored in the designated repository with a clear owner and retention period.

Metrics related to ethical conduct should be reviewed periodically to identify recurring issues and opportunities for improvement."
code-of-conduct::4-conflicts-of-interest,code-of-conduct,Code of Conduct,4. Conflicts Of Interest,Compliance,"Code of Conduct
4. Conflicts Of Interest
The section on conflicts of interest defines the standard rule, the approval path, and the records that must be retained.

Requests related to conflicts of interest should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for conflicts of interest, the exception must include the reason, the duration, and any compensating controls.

Records related to conflicts of interest must be stored in the designated repository with a clear owner and retention period.

Metrics related to conflicts of interest should be reviewed periodically to identify recurring issues and opportunities for improvement."
code-of-conduct::5-gifts-and-hospitality,code-of-conduct,Code of Conduct,5. Gifts And Hospitality,Compliance,"Code of Conduct
5. Gifts And Hospitality
The section on gifts and hospitality defines the standard rule, the approval path, and the records that must be retained.

Requests related to gifts and hospitality should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for gifts and hospitality, the exception must include the reason, the duration, and any compensating controls.

Employees may not accept cash or cash equivalents from vendors or customers under any circumstances.

Non-cash gifts with an estimated value above USD 75 must be declined or disclosed to Compliance for written guidance."
code-of-conduct::6-reporting-concerns,code-of-conduct,Code of Conduct,6. Reporting Concerns,Compliance,"Code of Conduct
6. Reporting Concerns
The section on reporting concerns defines the standard rule, the approval path, and the records that must be retained.

Requests related to reporting concerns should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for reporting concerns, the exception must include the reason, the duration, and any compensating controls.

Concerns may be reported to a manager, People Operations, Compliance, or the anonymous ethics channel.

Retaliation against a person who raises a good-faith concern is prohibited even if the concern is not substantiated."
code-of-conduct::7-non-retaliation,code-of-conduct,Code of Conduct,7. Non-Retaliation,Compliance,"Code of Conduct
7. Non-Retaliation
The section on non-retaliation defines the standard rule, the approval path, and the records that must be retained.

Requests related to non-retaliation should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for non-retaliation, the exception must include the reason, the duration, and any compensating controls.

Records related to non-retaliation must be stored in the designated repository with a clear owner and retention period.

Metrics related to non-retaliation should be reviewed periodically to identify recurring issues and opportunities for improvement."
code-of-conduct::8-exceptions-and-escalations,code-of-conduct,Code of Conduct,8. Exceptions and Escalations,Compliance,"Code of Conduct
8. Exceptions and Escalations
Exceptions must be rare, time-bound, and approved by the designated authority named in the relevant section.

All exceptions must be logged with the approver, rationale, expiration date, and any required follow-up actions."
